doc_id,corpus,author,segment_id,has_violent_reference,has_role_model_status,violent_reference_count,role_model_status_count,word_count,role_model_glorification
1160_KennedyIchbin.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,691,FALSE
142Thunberg.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,742,FALSE
1945 Labour Party Manifesto -.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,2,5127,FALSE
1949_simone-de-beauvoir-the-second-sex.pdf,non_longitudinal,NA,1,TRUE,TRUE,2,201,350086,TRUE
A Contribution to the History of the National Programme in Austria and in Russia_2.5.1914,longitudinal,lenin,1,FALSE,FALSE,0,0,770,FALSE
A Disgraceful Resolution_10.18.1912,longitudinal,lenin,1,FALSE,TRUE,0,1,325,FALSE
"A House of Many Mansions, 1940",longitudinal,churchill,1,TRUE,FALSE,2,0,1780,FALSE
"A Hush Over Europe, 1939",longitudinal,churchill,1,TRUE,FALSE,1,0,1210,FALSE
A New Chapter of World History_10.21.1912,longitudinal,lenin,1,FALSE,FALSE,0,0,343,FALSE
"Address to Joint Session of US Congress, 1941",longitudinal,churchill,1,FALSE,FALSE,0,0,3252,FALSE
Against Pessimism_4.15.1924,longitudinal,gramsci,1,FALSE,FALSE,0,0,1943,FALSE
Against Pessimism_4.15.1924,non_longitudinal,NA,1,FALSE,FALSE,0,0,1943,FALSE
Atlantic-Charter.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,1036,FALSE
"Be Ye Men of Valour, 1940",longitudinal,churchill,1,FALSE,TRUE,0,1,1394,FALSE
Bill on the Equality of Nations and the Safeguarding of the Rights of National Minorities_5.6.1914,longitudinal,lenin,1,FALSE,FALSE,0,0,642,FALSE
"Blood, Toil, Tears and Sweat, 1940",longitudinal,churchill,1,FALSE,FALSE,0,0,731,FALSE
"Bolshevism and Imperial Sedition, 1920",longitudinal,churchill,1,FALSE,FALSE,0,0,1521,FALSE
Cadets and Nationalists_10.24.1912,longitudinal,lenin,1,FALSE,FALSE,0,0,328,FALSE
Cadets on the Question of the Ukraine_7.16.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,485,FALSE
Clarity Has Been Achieved_6.5.1914,longitudinal,lenin,1,FALSE,TRUE,0,1,1582,FALSE
Class War in Dublin_8.29.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,1432,FALSE
Communist Manifesto.pdf,non_longitudinal,NA,1,TRUE,TRUE,1,17,38554,TRUE
Concerning Certain Speeches by Workers’ Deputies_11.1912,longitudinal,lenin,1,FALSE,FALSE,0,0,1576,FALSE
Concerning the Workers’ Deputies to the Duma and Their Declaration_11.1912,longitudinal,lenin,1,FALSE,TRUE,0,1,1298,FALSE
Corrupting the Workers with Refined Nationalism_5.10.1914,longitudinal,lenin,1,FALSE,FALSE,0,0,930,FALSE
DefeatingEurabia1.pdf,non_longitudinal,NA,1,TRUE,TRUE,7,75,134974,TRUE
"Do Your Worst; We'll Do Our Best, 1941",longitudinal,churchill,1,TRUE,FALSE,1,0,1236,FALSE
