doc_id,segment_id,marker,count,word_count,prevalence
1160_KennedyIchbin,1,harm,0,691,0
142Thunberg,1,harm,0,785,0
1945 Labour Party Manifesto -,1,harm,0,5134,0
1949_simone-de-beauvoir-the-second-sex,1,harm,3,351507,0.008534680674922548
anders_breivik_-_2083_manifesto_-_2011,1,harm,28,802073,0.034909540652783476
Atlantic-Charter,1,harm,0,1037,0
brenton-tarrant-the-great-replacement-manifesto,1,harm,9,16984,0.5299105040037683
cho_manifesto_1.1,1,harm,0,2203,0
Communist Manifesto,1,harm,0,39076,0
DefeatingEurabia1,1,harm,5,135135,0.037000037000037
Earnest-Manifesto-042719,1,harm,0,4430,0
"Four Freedoms Speech, Franklin Delano Roosevelt (1)",1,harm,0,3387,0
Full_text_I_Have_a_Dream_,1,harm,0,1695,0
Hitler_Adolf_-_Mein_Kampf,1,harm,7,273713,0.025574232864350614
Imperium - Yockey,1,harm,3,185034,0.01621323648626739
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi",1,harm,20,157287,0.12715609045884274
milestones-f1,1,harm,1,68527,0.01459278824404979
patrick_crusius_-_the_inconvenient_truth_about_me,1,harm,0,2422,0
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002",1,harm,21,929691,0.022588150256375505
PortHuronStatement,1,harm,0,8807,0
Revolt Against The Modern World - Julius Evola,1,harm,1,200238,0.00499405707208422
rodger_manifesto,1,harm,0,109566,0
roofmanifesto,1,harm,0,2460,0
"Russian Imperial Manifesto, Announcing the Start of War in August 1914",1,harm,0,447,0
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post,1,harm,3,35677,0.08408778765030693
the-lawful-and-the-prohibited-in-islam_text,1,harm,31,122093,0.2539048102675829
the state and revolution - lenin,1,harm,0,40117,0
the urban guerilla concept,1,harm,0,9698,0
universal declaration of human rights,1,harm,0,1784,0
velayat_faqeeh - Khomeini,1,harm,7,62541,0.11192657616603509
what is to be done - lenin,1,harm,3,67459,0.044471456736684505
1160_KennedyIchbin,1,damage,0,691,0
142Thunberg,1,damage,0,785,0
1945 Labour Party Manifesto -,1,damage,0,5134,0
1949_simone-de-beauvoir-the-second-sex,1,damage,2,351507,0.005689787116615032
anders_breivik_-_2083_manifesto_-_2011,1,damage,113,802073,0.14088493192016188
Atlantic-Charter,1,damage,0,1037,0
brenton-tarrant-the-great-replacement-manifesto,1,damage,2,16984,0.11775788977861518
cho_manifesto_1.1,1,damage,0,2203,0
Communist Manifesto,1,damage,0,39076,0
DefeatingEurabia1,1,damage,5,135135,0.037000037000037
Earnest-Manifesto-042719,1,damage,0,4430,0
"Four Freedoms Speech, Franklin Delano Roosevelt (1)",1,damage,0,3387,0
Full_text_I_Have_a_Dream_,1,damage,0,1695,0
Hitler_Adolf_-_Mein_Kampf,1,damage,14,273713,0.05114846572870123
Imperium - Yockey,1,damage,5,185034,0.02702206081044565
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi",1,damage,21,157287,0.1335138949817849
milestones-f1,1,damage,0,68527,0
patrick_crusius_-_the_inconvenient_truth_about_me,1,damage,1,2422,0.41288191577208916
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002",1,damage,118,929691,0.12692389191677667
PortHuronStatement,1,damage,0,8807,0
Revolt Against The Modern World - Julius Evola,1,damage,0,200238,0
